"Sex","Cancer","Age","Case","PY"
2,11,9,0,222142
2,11,10,0,225296
2,11,11,1,247852
2,11,12,2,286215
2,11,13,1,291631
2,11,14,2,238433
2,11,15,1,240090
2,11,16,2,232774
2,11,17,2,196259
2,11,18,2,213970
2,11,19,0,0
1,12,1,0,150117
1,12,2,0,162752
1,12,3,0,182820
1,12,4,0,175331
1,12,5,0,148497
1,12,6,0,167863
1,12,7,0,190927
1,12,8,0,214001
1,12,9,0,203302
1,12,10,2,209245
1,12,11,2,234433
1,12,12,3,275263
1,12,13,3,273099
1,12,14,2,197596
1,12,15,3,185939
1,12,16,3,164562
1,12,17,0,114258
1,12,18,1,75378
1,12,19,0,0
2,12,1,0,143800
2,12,2,0,155840
2,12,3,0,174035
2,12,4,0,170466
2,12,5,0,158539
2,12,6,0,177253
2,12,7,0,200856
2,12,8,0,227309
2,12,9,0,222142
2,12,10,2,225296
2,12,11,0,247852
2,12,12,2,286215
2,12,13,0,291631
2,12,14,1,238433
2,12,15,0,240090
2,12,16,1,232774
2,12,17,0,196259
2,12,18,0,213970
2,12,19,0,0
1,13,1,0,150117
1,13,2,0,162752
1,13,3,0,182820
1,13,4,0,175331
1,13,5,0,148497
1,13,6,0,167863
1,13,7,0,190927
1,13,8,0,214001
1,13,9,1,203302
1,13,10,7,209245
1,13,11,5,234433
1,13,12,10,275263
1,13,13,21,273099
1,13,14,11,197596
1,13,15,14,185939
1,13,16,10,164562
1,13,17,6,114258
1,13,18,4,75378
1,13,19,0,0
2,13,1,0,143800
2,13,2,0,155840
2,13,3,0,174035
2,13,4,0,170466
2,13,5,0,158539
2,13,6,0,177253
2,13,7,0,200856
2,13,8,0,227309
2,13,9,1,222142
2,13,10,0,225296
2,13,11,1,247852
2,13,12,4,286215
2,13,13,1,291631
2,13,14,2,238433
2,13,15,0,240090
2,13,16,4,232774
2,13,17,1,196259
2,13,18,1,213970
2,13,19,0,0
1,14,1,0,150117
1,14,2,0,162752
1,14,3,0,182820
1,14,4,0,175331
1,14,5,0,148497
1,14,6,0,167863
1,14,7,0,190927
1,14,8,0,214001
1,14,9,1,203302
