"Sex","Cancer","Age","Case","PY"
2,10,7,0,10790890
2,10,8,1,10859221
2,10,9,0,10542705
2,10,10,4,9778195
2,10,11,5,7160051
2,10,12,10,5654049
2,10,13,4,5247731
2,10,14,14,4648408
2,10,15,10,3522098
2,10,16,6,2382194
2,10,17,4,1422943
2,10,18,1,920211
2,10,19,0,0
1,11,1,1,6655812
1,11,2,0,8598995
1,11,3,0,9263734
1,11,4,1,8375867
1,11,5,4,9705747
1,11,6,2,10095552
1,11,7,4,11225177
1,11,8,9,11262082
1,11,9,16,11043758
1,11,10,18,10067169
1,11,11,26,7231868
1,11,12,36,5541349
1,11,13,51,4722669
1,11,14,54,3753695
1,11,15,45,2329646
1,11,16,25,1257889
1,11,17,13,654160
1,11,18,2,307038
1,11,19,0,0
2,11,1,0,6122426
2,11,2,2,7790860
2,11,3,5,8179255
2,11,4,1,7590641
2,11,5,4,9127892
2,11,6,3,9662183
2,11,7,11,10790890
2,11,8,16,10859221
2,11,9,15,10542705
2,11,10,22,9778195
2,11,11,18,7160051
2,11,12,15,5654049
2,11,13,25,5247731
2,11,14,24,4648408
2,11,15,17,3522098
2,11,16,16,2382194
2,11,17,9,1422943
2,11,18,5,920211
2,11,19,0,0
1,12,1,0,6655812
1,12,2,1,8598995
1,12,3,1,9263734
1,12,4,1,8375867
1,12,5,2,9705747
1,12,6,5,10095552
1,12,7,9,11225177
1,12,8,15,11262082
1,12,9,23,11043758
1,12,10,34,10067169
1,12,11,53,7231868
1,12,12,63,5541349
1,12,13,80,4722669
1,12,14,112,3753695
1,12,15,90,2329646
1,12,16,40,1257889
1,12,17,33,654160
1,12,18,14,307038
1,12,19,0,0
2,12,1,0,6122426
2,12,2,1,7790860
2,12,3,3,8179255
2,12,4,0,7590641
2,12,5,1,9127892
2,12,6,6,9662183
2,12,7,4,10790890
2,12,8,11,10859221
2,12,9,17,10542705
2,12,10,15,9778195
2,12,11,23,7160051
2,12,12,20,5654049
2,12,13,34,5247731
2,12,14,17,4648408
2,12,15,37,3522098
2,12,16,31,2382194
2,12,17,26,1422943
2,12,18,20,920211
2,12,19,0,0
1,13,1,2,6655812
1,13,2,3,8598995
1,13,3,11,9263734
1,13,4,9,8375867
1,13,5,26,9705747
1,13,6,35,10095552
1,13,7,32,11225177
1,13,8,53,11262082
1,13,9,71,11043758
1,13,10,95,10067169
1,13,11,82,7231868
1,13,12,84,5541349
1,13,13,132,4722669
1,13,14,115,3753695
1,13,15,81,2329646
1,13,16,38,1257889
1,13,17,27,654160
1,13,18,9,307038
1,13,19,0,0
2,13,1,0,6122426
2,13,2,8,7790860
2,13,3,6,8179255
2,13,4,11,7590641
2,13,5,25,9127892
2,13,6,32,9662183
2,13,7,46,10790890
2,13,8,38,10859221
2,13,9,80,10542705
2,13,10,74,9778195
2,13,11,72,7160051
2,13,12,62,5654049
2,13,13,51,5247731
2,13,14,68,4648408
2,13,15,30,3522098
2,13,16,34,2382194
2,13,17,29,1422943
2,13,18,17,920211
2,13,19,0,0
1,14,1,1,6655812
1,14,2,2,8598995
1,14,3,7,9263734
1,14,4,7,8375867
1,14,5,18,9705747
1,14,6,30,10095552
1,14,7,26,11225177
1,14,8,38,11262082
1,14,9,46,11043758
1,14,10,53,10067169
1,14,11,44,7231868
1,14,12,49,5541349
1,14,13,82,4722669
1,14,14,73,3753695
1,14,15,57,2329646
1,14,16,23,1257889
1,14,17,21,654160
1,14,18,4,307038
1,14,19,0,0
2,14,1,0,6122426
2,14,2,6,7790860
2,14,3,5,8179255
2,14,4,9,7590641
2,14,5,15,9127892
2,14,6,25,9662183
2,14,7,32,10790890
2,14,8,24,10859221
2,14,9,58,10542705
2,14,10,46,9778195
2,14,11,41,7160051
2,14,12,39,5654049
2,14,13,33,5247731
2,14,14,41,4648408
2,14,15,19,3522098
2,14,16,21,2382194
2,14,17,19,1422943
2,14,18,12,920211
2,14,19,0,0
1,15,1,1,6655812
1,15,2,1,8598995
1,15,3,4,9263734
1,15,4,2,8375867
1,15,5,8,9705747
1,15,6,5,10095552
1,15,7,6,11225177
1,15,8,15,11262082
1,15,9,25,11043758
1,15,10,42,10067169
1,15,11,38,7231868
1,15,12,35,5541349
1,15,13,50,4722669
1,15,14,42,3753695
1,15,15,24,2329646
1,15,16,15,1257889
1,15,17,6,654160
1,15,18,5,307038
1,15,19,0,0
2,15,1,0,6122426
2,15,2,2,7790860
2,15,3,1,8179255
2,15,4,2,7590641
2,15,5,10,9127892
2,15,6,7,9662183
2,15,7,14,10790890
2,15,8,14,10859221
2,15,9,22,10542705
2,15,10,28,9778195
2,15,11,31,7160051
2,15,12,23,5654049
2,15,13,18,5247731
2,15,14,27,4648408
2,15,15,11,3522098
2,15,16,13,2382194
2,15,17,10,1422943
2,15,18,5,920211
2,15,19,0,0
1,16,1,1,6655812
1,16,2,0,8598995
1,16,3,0,9263734
1,16,4,0,8375867
1,16,5,0,9705747
1,16,6,1,10095552
