"Sex","Cancer","Age","Case","PY"
1,26,6,0,194106
1,26,7,0,240588
1,26,8,0,207694
1,26,9,0,184759
1,26,10,0,170386
1,26,11,1,189268
1,26,12,2,232000
1,26,13,3,182011
1,26,14,3,139713
1,26,15,1,109310
1,26,16,0,80619
1,26,17,0,45317
1,26,18,0,31662
1,26,19,0,0
2,26,1,0,136692
2,26,2,0,139552
2,26,3,0,135388
2,26,4,0,149483
2,26,5,0,171368
2,26,6,0,204692
2,26,7,0,250817
2,26,8,0,212823
2,26,9,0,186976
2,26,10,0,174028
2,26,11,0,192445
2,26,12,0,237592
2,26,13,1,193253
2,26,14,0,151545
2,26,15,4,134277
2,26,16,0,110566
2,26,17,2,81596
2,26,18,0,84117
2,26,19,0,0
1,27,1,0,143260
1,27,2,0,146182
1,27,3,0,142839
1,27,4,0,157238
1,27,5,0,163393
1,27,6,0,194106
1,27,7,0,240588
1,27,8,0,207694
1,27,9,0,184759
1,27,10,0,170386
1,27,11,1,189268
1,27,12,2,232000
1,27,13,2,182011
1,27,14,3,139713
1,27,15,5,109310
1,27,16,6,80619
1,27,17,4,45317
1,27,18,0,31662
1,27,19,0,0
2,27,1,0,136692
2,27,2,0,139552
2,27,3,0,135388
2,27,4,0,149483
2,27,5,0,171368
2,27,6,0,204692
2,27,7,0,250817
2,27,8,0,212823
2,27,9,0,186976
2,27,10,1,174028
2,27,11,0,192445
2,27,12,0,237592
2,27,13,0,193253
2,27,14,2,151545
2,27,15,0,134277
2,27,16,2,110566
2,27,17,0,81596
2,27,18,3,84117
2,27,19,0,0
1,28,1,0,143260
1,28,2,0,146182
1,28,3,0,142839
1,28,4,0,157238
1,28,5,0,163393
1,28,6,0,194106
1,28,7,0,240588
1,28,8,0,207694
1,28,9,0,184759
1,28,10,0,170386
1,28,11,0,189268
1,28,12,0,232000
1,28,13,0,182011
1,28,14,0,139713
1,28,15,0,109310
1,28,16,0,80619
1,28,17,0,45317
1,28,18,0,31662
1,28,19,0,0
2,28,1,0,136692
2,28,2,0,139552
2,28,3,0,135388
2,28,4,0,149483
2,28,5,0,171368
2,28,6,0,204692
